date,type,amount
2019-10-03,CashOnHand,25000
2019-11-04,CashOnHand,61290.71
2019-12-02,CashOnHand,32297.94
2020-01-02,CashOnHand,77018.35
2020-02-03,CashOnHand,57203.08
2020-03-02,CashOnHand,32486.65
2020-03-02,CashOnHand,32481.99
2020-03-02,CashOnHand,32552.25
2020-03-02,CashOnHand,32552.25
2020-03-02,CashOnHand,32541.54
2020-03-03,CashOnHand,32537.93
2020-03-04,CashOnHand,32465.93
2020-03-04,CashOnHand,32218.73
2020-03-05,CashOnHand,32081.76
2020-03-05,CashOnHand,32029.76
2020-03-05,CashOnHand,31229.76
2020-03-09,CashOnHand,31151.86
2020-03-09,CashOnHand,31085.96
2020-03-12,CashOnHand,30701.49
2020-03-16,CashOnHand,30711.14
2020-03-18,CashOnHand,30696.14
2020-03-18,CashOnHand,30694.54
2020-03-18,CashOnHand,30644.64
2020-03-18,CashOnHand,30526.83
2020-03-19,CashOnHand,30488.84
2020-03-20,CashOnHand,30438.84
2020-03-20,CashOnHand,26438.84
2020-03-20,CashOnHand,26362.68
2020-03-20,CashOnHand,88648.73
2020-03-20,CashOnHand,87110.78
2020-03-20,CashOnHand,85102.02
2020-03-20,CashOnHand,83089.04
2020-03-20,CashOnHand,81776.36
2020-03-20,CashOnHand,80480.9
2020-03-20,CashOnHand,79519.98
2020-03-20,CashOnHand,78281.7
2020-03-24,CashOnHand,78203.93
2020-03-25,CashOnHand,78421.55
2020-03-27,CashOnHand,78281.65
2020-03-30,CashOnHand,78226.7
2020-04-01,CashOnHand,78226.7
2020-04-01,CashOnHand,78215.99
2020-04-01,CashOnHand,78285.98
2020-04-01,CashOnHand,78251.98
2020-04-01,CashOnHand,78099.23
2020-04-01,CashOnHand,77874.23
2020-04-02,CashOnHand,77846.72
2020-04-02,CashOnHand,77842.05
2020-04-03,CashOnHand,77715.04
2020-04-07,CashOnHand,77663.04
2020-04-08,CashOnHand,77393.05
2020-04-09,CashOnHand,77383.64
2020-04-09,CashOnHand,77312.64
2020-04-09,CashOnHand,76512.64
2020-04-14,CashOnHand,76511.74
2020-04-14,CashOnHand,76232.74
2020-04-14,CashOnHand,75991.85
2020-04-14,CashOnHand,71991.85
2020-04-15,CashOnHand,71902.85
2020-04-16,CashOnHand,71823.85
2020-04-17,CashOnHand,71544.85
2020-04-17,CashOnHand,71528.2
2020-04-20,CashOnHand,68829.2
2020-04-21,CashOnHand,68808.42
2020-04-21,CashOnHand,68742.97
2020-04-21,CashOnHand,67447.51
2020-04-21,CashOnHand,66134.83
2020-04-21,CashOnHand,64696.8
2020-04-21,CashOnHand,63354.17
2020-04-21,CashOnHand,61345.41
2020-04-21,CashOnHand,59332.43
2020-04-21,CashOnHand,57326.78
2020-04-23,CashOnHand,56841.27
2020-04-24,CashOnHand,56132.95
2020-04-24,CashOnHand,56042.95
2020-04-24,CashOnHand,55966.79
2020-04-24,CashOnHand,55949.81
2020-04-27,CashOnHand,55814.8
2020-04-27,CashOnHand,56134
2020-04-27,CashOnHand,55998.99
2020-04-27,CashOnHand,56134.19
2020-04-28,CashOnHand,56035.19
2020-04-29,CashOnHand,56014.19
2020-04-29,CashOnHand,54915.19
2020-04-29,CashOnHand,54898.21
2020-04-29,CashOnHand,54881.23
2020-04-30,CashOnHand,53782.23
2020-05-01,CashOnHand,53782.23
2020-05-01,CashOnHand,53770.21
2020-05-05,CashOnHand,50270.21
2020-05-06,CashOnHand,50218.21
2020-05-07,CashOnHand,49889.03
2020-05-07,CashOnHand,49859.03
2020-05-07,CashOnHand,49716.23
2020-05-08,CashOnHand,48916.23
2020-05-11,CashOnHand,48846.36
2020-05-11,CashOnHand,48829.38
2020-05-14,CashOnHand,48783.24
2020-05-14,CashOnHand,48725.79
2020-05-19,CashOnHand,46717.03
2020-05-19,CashOnHand,44704.05
2020-05-19,CashOnHand,42698.4
2020-05-20,CashOnHand,42681.75
2020-05-20,CashOnHand,41046.98
